title,text
Smart Network gruppo filippetti,"L’IoT, con le sue infinite applicazioni e declinazioni, sta radicalmente cambiando il modo nel quale lavoriamo e viviamo, in qualunque contesto. Lo SmartNetwork di Gruppo Filippetti è realizzato con componenti IoT, ingegnerizzati e prodotti “in house” e alimentati a batterie di lunga durata (fino a 10 anni). Questo permette la creazione di uno o più SmartNetwork in qualsiasi contesto ambientale e garantisce l’azzeramento dei costi infrastrutturali (assenza di cablaggi). Questa caratteristica, unita a quelle dei device collegabili allo SmartNetwork, molti dei quali sono certificati ATEX per impieghi in atmosfere esplosive, fa dello SmartNetwork di Gruppo Filippetti la soluzione ideale per impieghi in scenari eterogenei quali oil&gas, siti industriali, cantieristica civile e industriale, smart cities, agricoltura, mobilità veicolare, e molti altri. Il Network si configura, nella sua versione base, come rete di tipo Mesh pervasiva asincrona non temporizzata. È quindi sempre disponibile all’invio di dati che avviene senza latenza imposta dal protocollo di trasmissione adottato. Ogni progetto può quindi prevedere l’installazione di più SmartNetworks, connessi per mezzo di specifici gateway alle dorsali di comunicazione disponibili, che permettono la copertura (e la raccolta dati) su superfici estremamente vaste. Ciascun dispositivo dello SmartNetwork è infine interrogabile “on demand” in tempo reale e tutti gli end devices di attuazione (tag) risultano sempre disponibili, senza problemi di latenza."
IoT Smart Platform: una platform human centric che abilita tutta la potenza dell’IoT,"La IoT smart platform di gruppo filippetti è un insieme di moduli applicativi e di tecnologie infrastrutturali (smart network e device ioT) pensati e sviluppati con l’obbiettivo di garantire l’erogazione, in modalità cloud, di servizi evoluti nell’ambito dell’internet of things (ioT) e delle smart cities. La IoT Smart Platform è di fatto un ecosistema omogeneo e coordinato di componenti software sviluppate a “micro servizi” che parte dall’eccellenza della tecnologia disponibile, molta della quale è prodotta in house da Gruppo Filippetti, superandone I limiti attraverso una incessante attività di ricerca e sviluppo per definire nuovi standard oprativi nella costruzione ed erogazione di servizi smart."
Global IoT Platform: una piattaforma potente per gestire la complessità delle soluzioni,"La Global IoT Platform di Gruppo Filippetti è un ecosistema integrato di soluzioni tecnologiche best in class e all’avanguardia, pensate per soddisfare molteplici esigenze in differenti ambiti applicativi. Tecnologie “open”, scalabili ed estendibili per supportare lo sviluppo di innovazioni capaci di generare nuovo valore per i Clienti e di catalizzare opportunità per i nostri Partner che troveranno in Gruppo Filippetti un alleato esperto ed affidabile per vincere le sfide digitali del mondo IoT. Il nostro Team R&D, guidato da una rivoluzionaria “Technology Vision”, realizza soluzioni pensate per migliorare e semplificare la vita dell’uomo. La Global IoT Platform semplifica quindi la gestione della complessità."
Microsoft certifica la IoT smart platform di Gruppo Filippetti,"Dopo il fisiologico percorso di test e certificazione, la IoT SmartPlatform sviluppata da Gruppo Filippetti entra a far parte del catalogo Microsoft Azure per le soluzioni CO-Sell-Ready, destinate al mercato IoT Worldwide. La nostra IoT Smart Platform è la miglior soluzione cross-market – compatibile con i principali Cloud Provider – per portare l’intelligenza e la pervasività delle tecnologie IoT in qualunque contesto e gestire, in modo semplice e personalizzato, la raccolta, la memorizzazione e l’analisi dei dati di campo in tempo reale. La piattaforma di Gruppo Filippetti nasce use-ready avendo a supporto le componenti IaaS e, se necessario, alcune delle componenti PaaS di Azure. Anche l’Edge Computing di Gruppo Filippetti, arricchito con l’integrazione delle componenti Azure IoT SDK, ha superato con successo i test di certificazione e reso disponibile sul catalogo Microsoft CO-Sell-ready. Le nostre tecnologie e l’esperienza maturata nel mondo IoT, in quello dei Big Data e degli Analytics, arricchite della garanzia di Microsoft Azure IoT, ci permettono di presentarci al mercato globale con un set di soluzioni “best in class” fortemente integrate tra loro e caratterizzate da robustezza, semplicità e grande flessibilità. La certificazione Microsft Azure IoT è infine un riconoscimento prestigioso al lavoro svolto dal nostro reparto R&D e a tutti coloro che hanno collaborato, con passione e grande professionalità, alla creazione di soluzioni tecnologiche che non temono confronti."
Sensori multifunzionali smart network,"Per superare i limiti delle tecnologie IoT esistenti, abbiamo sviluppato e prodotto una gamma di device (sensori) multifunzionali, capaci di leggere parametri eterogenei (es: temperatura, umidità, luminosità, presenza di polveri, concentrazione di CO2, ecc) in differenti contesti applicativi."
Alimentazione a batterie smart network,Tutti gli apparati di comunicazione e di monitoraggio (con esclusione del solo gateway) sono alimentati a batterie (con autonomia fino a 10 anni) e possono essere installati nella posizione ottimale per il servizio svolto sia in spazi indoor che outdoor in modo del tutto indipendente dalla disponibilità di energia elettrica.
System embedding smart network,"SmartNetwork è in grado di dialogare con tecnologie di terze parti che operano su protocolli di comunicazione diversi, garantendo la creazione di una infrastruttura network wireless altamente integrata. Questo rende SmartNetwork l’unica soluzione disponibile per abilitare gli scenari IoT più complessi."
Copertura illimitata smart network,"Comunicazione dati anche in aree normalmente “schermate” ad altre tecnologie radio, grazie alla pervasività della rete che, essendo costituita da dispositivi a batteria, può essere portata anche in zone normalmente “inaccessibili”, quali sotterranei, aree fortemente compartimentate."
Multi protocollo smart network,"SmartNetwork dialoga attraverso differenti protocolli di comunicazione tra cui il protocollo proprietario SmartNetwork, quello LoRa (Long Range) ed altri (Ultra Narrow band IoT, Sigfox, 5G). In tal modo è possibile implementare SmartNetwork ad ampio raggio (2/3 km in aree ad alta densità e fino a 15 km in campo aperto)."
Scalabilità e flessibilità smart network,"La piattaforma consente la completa scalabilità, sia in estensione delle installazioni, sia in tipologia dei servizi forniti. Inoltre, grazie alla disponibilità di numerosi tipi di bridge, il sistema è espandibile o integrabile con componenti di terze parti che utilizzano protocolli di comunicazione diversi."
